step,episode,episode_return,episode_wue,episode_fair_std,episode_worst_outage_h,loss,epsilon,eval_return
34944,208,-62.2246,113370.69,0.05635,72.00,0.040804,0.4467,
35000,208,,,,,,,-63.7577
35112,209,-65.9934,124487.84,0.05848,75.25,0.055242,0.4441,
35280,210,-91.7294,178038.91,0.01892,80.50,0.083649,0.4414,
35448,211,-72.8031,121049.33,0.04699,69.75,0.042999,0.4387,
35616,212,-65.7892,112874.84,0.06547,70.00,0.035966,0.4361,
35784,213,-62.4557,111071.43,0.06161,72.50,0.041488,0.4334,
35952,214,-78.7986,121633.00,0.06446,74.25,0.040432,0.4308,
36120,215,-62.4130,111586.54,0.05461,72.50,0.049604,0.4281,
36288,216,-66.2560,118240.05,0.05452,69.50,0.045069,0.4254,
36456,217,-59.5580,107787.06,0.06945,73.75,0.067696,0.4228,
36624,218,-74.7460,131887.55,0.04624,74.75,0.059635,0.4201,
36792,219,-90.9321,171566.03,0.02176,77.50,0.038900,0.4175,
36960,220,-62.5733,111127.82,0.02530,60.50,0.030885,0.4148,
37128,221,-63.5168,110924.31,0.06208,73.75,0.052179,0.4121,
37296,222,-71.1263,127192.94,0.07625,79.50,0.044294,0.4095,
37464,223,-92.8694,158727.38,0.05123,80.25,0.056016,0.4068,
37632,224,-62.1108,112044.13,0.04342,63.75,0.064730,0.4042,
37800,225,-66.3730,120496.68,0.04131,68.50,0.049494,0.4015,
37968,226,-65.2272,111772.05,0.06296,69.75,0.037500,0.3988,
38136,227,-62.1497,116389.36,0.05156,67.75,0.051424,0.3962,
38304,228,-89.1728,166358.25,0.04169,82.25,0.059109,0.3935,
38472,229,-60.1921,108077.07,0.05796,72.50,0.052669,0.3909,
38640,230,-89.3455,165833.94,0.02137,75.00,0.062427,0.3882,
38808,231,-93.1555,168641.00,0.06788,88.75,0.054105,0.3855,
38976,232,-91.7530,153469.23,0.04487,75.25,0.064894,0.3829,
39144,233,-65.0603,109773.01,0.06498,68.00,0.043501,0.3802,
39312,234,-74.6453,125547.51,0.04193,69.00,0.056232,0.3776,
39480,235,-61.4430,99579.07,0.08200,70.75,0.056253,0.3749,
39648,236,-88.7366,151527.23,0.05225,79.00,0.040619,0.3722,
39816,237,-61.5772,101037.04,0.05927,68.50,0.066299,0.3696,
39984,238,-59.6195,103950.24,0.03861,60.00,0.044838,0.3669,
40000,238,,,,,,,-62.4677
40152,239,-60.6144,104852.43,0.05156,66.00,0.062353,0.3643,
40320,240,-64.1475,103145.95,0.07699,71.75,0.048686,0.3616,
40488,241,-62.7992,107322.47,0.07407,69.50,0.031516,0.3589,
40656,242,-90.6155,165150.84,0.06288,90.00,0.054378,0.3563,
40824,243,-77.5059,121273.99,0.04776,66.50,0.045899,0.3536,
40992,244,-63.5519,114908.20,0.06686,72.00,0.053890,0.3510,
41160,245,-58.7611,112010.43,0.04573,61.75,0.042962,0.3483,
41328,246,-86.8626,161234.45,0.03981,82.75,0.057246,0.3456,
41496,247,-73.4114,119567.39,0.05529,73.00,0.057251,0.3430,
41664,248,-57.7949,108492.73,0.04489,62.50,0.047654,0.3403,
41832,249,-59.9798,103974.74,0.04933,61.75,0.065229,0.3377,
42000,250,-82.6120,164103.69,0.05437,85.50,0.035563,0.3350,
42168,251,-89.8092,169133.30,0.03213,79.75,0.052661,0.3323,
42336,252,-87.0932,155971.12,0.06495,90.00,0.055933,0.3297,
42504,253,-91.4797,151007.58,0.03360,73.00,0.043677,0.3270,
42672,254,-74.1497,109458.73,0.05996,69.00,0.064916,0.3244,
42840,255,-88.3489,167907.27,0.03861,80.50,0.041014,0.3217,
43008,256,-71.6806,120127.00,0.05923,74.00,0.051371,0.3190,
43176,257,-59.3896,108234.32,0.06623,67.00,0.063465,0.3164,
43344,258,-60.7201,100250.99,0.05506,65.50,0.045141,0.3137,
43512,259,-88.3589,167570.44,0.03847,82.50,0.042364,0.3111,
43680,260,-71.0341,123328.40,0.06157,74.25,0.057370,0.3084,
43848,261,-58.4006,102014.72,0.07861,71.25,0.051180,0.3057,
44016,262,-59.8244,109815.11,0.05700,70.50,0.044570,0.3031,
44184,263,-63.1780,101517.66,0.05995,70.00,0.047496,0.3004,
44352,264,-59.0234,96741.64,0.05317,59.75,0.051671,0.2978,
44520,265,-59.9660,108326.03,0.05492,65.25,0.054629,0.2951,
44688,266,-85.4354,170509.99,0.02445,74.25,0.047537,0.2924,
44856,267,-59.9645,91375.22,0.05093,54.75,0.064200,0.2898,
45000,267,,,,,,,-68.8844
45024,268,-55.2768,98742.06,0.06496,66.00,0.053041,0.2871,
45192,269,-86.6751,177918.47,0.04288,87.25,0.061965,0.2845,
45360,270,-62.0750,110929.19,0.05043,66.00,0.072648,0.2818,
45528,271,-91.2119,151514.84,0.03374,71.75,0.051280,0.2791,
45696,272,-61.7982,104708.19,0.06770,68.00,0.035550,0.2765,
45864,273,-57.2245,95121.10,0.05830,61.00,0.044531,0.2738,
46032,274,-56.6790,106905.66,0.05552,65.75,0.068807,0.2712,
46200,275,-86.8105,148169.47,0.03515,69.50,0.046974,0.2685,
46368,276,-71.0190,122089.26,0.06437,79.75,0.053572,0.2658,
46536,277,-84.2656,158146.50,0.03449,76.00,0.053595,0.2632,
46704,278,-70.2110,114641.16,0.06197,72.00,0.040349,0.2605,
46872,279,-55.5696,103501.41,0.05121,61.75,0.045356,0.2579,
47040,280,-56.9520,107034.43,0.07474,71.00,0.046081,0.2552,
47208,281,-81.7288,155231.47,0.05384,80.00,0.052252,0.2525,
47376,282,-55.0124,86331.50,0.08382,67.50,0.067690,0.2499,
47544,283,-56.1629,102237.86,0.05396,61.00,0.047903,0.2472,
47712,284,-87.5706,152295.68,0.03504,72.50,0.046567,0.2446,
47880,285,-69.1516,103018.15,0.06945,68.75,0.036345,0.2419,
48048,286,-57.4053,101602.46,0.07905,73.50,0.046313,0.2392,
48216,287,-53.7798,96273.63,0.05064,58.25,0.045502,0.2366,
48384,288,-56.1791,101840.69,0.05777,66.75,0.063859,0.2339,
48552,289,-58.0681,98784.43,0.07091,69.25,0.049770,0.2313,
48720,290,-83.1925,150757.49,0.05707,83.25,0.044764,0.2286,
48888,291,-54.2651,96579.77,0.04913,62.25,0.050463,0.2259,
49056,292,-54.7585,97886.51,0.06677,62.25,0.036149,0.2233,
49224,293,-56.8564,97888.43,0.06997,64.75,0.062845,0.2206,
49392,294,-88.3564,168898.84,0.04765,85.25,0.054273,0.2180,
49560,295,-57.3718,97879.47,0.04726,56.50,0.056944,0.2153,
49728,296,-55.5829,97502.89,0.04633,59.00,0.055905,0.2126,
49896,297,-56.1180,95722.73,0.04360,57.75,0.060650,0.2100,
50000,297,,,,,,,-66.5338
50064,298,-88.9840,143618.81,0.06205,66.00,0.059185,0.2073,
50232,299,-83.6611,158332.74,0.04848,82.25,0.041150,0.2047,
50400,300,-85.2895,162944.03,0.00866,70.50,0.064082,0.2020,
50568,301,-56.5132,97504.35,0.04783,57.75,0.067781,0.1993,
50736,302,-87.1355,156034.95,0.06408,79.25,0.076996,0.1967,
50904,303,-64.2629,108769.90,0.06574,72.00,0.061358,0.1940,
51072,304,-57.3579,93910.00,0.05057,61.00,0.054756,0.1914,
51240,305,-51.7289,91657.82,0.06315,62.25,0.045215,0.1887,
51408,306,-55.4481,89487.97,0.06556,65.25,0.042069,0.1860,
51576,307,-69.6305,117773.26,0.06450,74.50,0.043594,0.1834,
51744,308,-52.6560,93176.65,0.04820,53.75,0.056054,0.1807,
51912,309,-51.9329,92098.55,0.05677,62.25,0.058013,0.1781,
52080,310,-53.8169,93241.48,0.04341,54.75,0.067397,0.1754,
52248,311,-51.7353,84152.46,0.06501,55.25,0.048388,0.1727,
52416,312,-81.0475,150682.28,0.04956,79.75,0.040596,0.1701,
52584,313,-54.9347,85695.71,0.09259,68.50,0.052979,0.1674,
52752,314,-54.4328,88341.13,0.07578,63.00,0.060454,0.1648,
52920,315,-89.0605,133911.36,0.07721,84.25,0.066710,0.1621,
53088,316,-52.1571,90905.44,0.07017,62.75,0.068624,0.1594,
53256,317,-54.6925,91830.86,0.07398,62.25,0.051430,0.1568,
53424,318,-55.4504,93502.31,0.06799,65.25,0.052133,0.1541,
53592,319,-61.5448,104352.58,0.04887,65.00,0.049920,0.1515,
53760,320,-51.6942,91340.94,0.07110,62.50,0.043783,0.1488,
53928,321,-52.5918,90266.51,0.05658,58.75,0.047897,0.1461,
54096,322,-81.7359,157793.23,0.03812,78.50,0.052758,0.1435,
54264,323,-53.9068,84814.96,0.10450,74.75,0.048216,0.1408,
54432,324,-82.5338,149384.55,0.05318,77.25,0.074440,0.1382,
54600,325,-80.7007,146695.52,0.04460,78.25,0.061405,0.1355,
54768,326,-53.6888,81389.87,0.07661,63.25,0.061149,0.1328,
54936,327,-79.4359,166894.21,0.03272,78.00,0.051048,0.1302,
55000,327,,,,,,,-64.4788
55104,328,-50.6916,84428.34,0.07489,66.00,0.048019,0.1275,
55272,329,-56.5539,80363.78,0.07931,61.00,0.069524,0.1249,
55440,330,-87.5288,166707.98,0.06163,91.75,0.067415,0.1222,
55608,331,-56.4200,90511.66,0.06768,67.00,0.057104,0.1195,
55776,332,-56.6917,93536.89,0.13563,89.25,0.061745,0.1169,
55944,333,-52.0479,95477.45,0.07846,67.25,0.050720,0.1142,
56112,334,-53.7042,100420.59,0.09320,74.75,0.059641,0.1116,
56280,335,-53.3612,93491.86,0.11087,78.75,0.061432,0.1089,
56448,336,-53.6096,101320.19,0.08158,71.50,0.064035,0.1062,
56616,337,-49.3540,89764.72,0.06091,58.50,0.037958,0.1036,
56784,338,-54.6742,82544.92,0.10998,70.00,0.044340,0.1009,
56952,339,-50.7717,79743.72,0.09932,71.00,0.042531,0.0983,
57120,340,-49.8060,75862.13,0.10001,62.50,0.054457,0.0956,
57288,341,-82.5733,165221.24,0.02796,76.75,0.052768,0.0929,
57456,342,-48.7812,91571.42,0.05423,59.50,0.041517,0.0903,
57624,343,-70.1536,111121.92,0.07851,76.00,0.049310,0.0876,
57792,344,-85.1236,148557.36,0.08635,87.00,0.038894,0.0850,
57960,345,-49.8633,74168.18,0.11402,69.50,0.075344,0.0823,
58128,346,-50.9732,84924.15,0.06219,61.25,0.052005,0.0796,
58296,347,-51.5567,91612.03,0.07346,69.25,0.064225,0.0770,
58464,348,-65.8079,108825.27,0.07253,67.00,0.055497,0.0743,
58632,349,-53.0105,79788.65,0.08249,63.00,0.045643,0.0717,
58800,350,-69.3809,94090.12,0.10511,74.25,0.048666,0.0690,
58968,351,-86.3342,137033.68,0.04389,71.75,0.071567,0.0663,
59136,352,-51.9362,93449.87,0.06023,62.00,0.061488,0.0637,
59304,353,-54.3179,104340.32,0.07148,68.50,0.043600,0.0610,
59472,354,-52.2940,85439.90,0.08597,68.75,0.034730,0.0584,
59640,355,-56.1455,78701.37,0.09706,69.75,0.055518,0.0557,
59808,356,-61.1240,95634.02,0.13747,88.75,0.045763,0.0530,
59976,357,-62.7780,104331.91,0.13492,94.00,0.081686,0.0504,
60000,357,,,,,,,-64.4145
60144,358,-81.7781,141346.96,0.13551,109.50,0.057989,0.0500,
60312,359,-49.0146,76473.90,0.07234,57.50,0.046828,0.0500,
60480,360,-46.2896,78117.41,0.06546,56.50,0.041624,0.0500,
60648,361,-49.6746,82458.55,0.08620,64.50,0.061768,0.0500,
60816,362,-50.6294,81397.93,0.09316,71.25,0.053145,0.0500,
60984,363,-84.1940,180174.39,0.03283,87.25,0.050762,0.0500,
61152,364,-53.1975,88705.57,0.06920,58.00,0.058057,0.0500,
61320,365,-49.9178,85490.24,0.09286,65.00,0.058593,0.0500,
61488,366,-61.7588,106243.48,0.07138,71.75,0.056962,0.0500,
61656,367,-43.3196,80268.81,0.05276,49.00,0.059882,0.0500,
61824,368,-82.1580,138830.47,0.06925,84.50,0.053110,0.0500,
61992,369,-47.9127,75597.88,0.10669,67.75,0.049402,0.0500,
62160,370,-66.4023,98077.08,0.07953,72.50,0.058847,0.0500,
62328,371,-68.3964,95929.71,0.08415,69.75,0.048538,0.0500,
62496,372,-45.2906,74044.14,0.07393,53.75,0.047348,0.0500,
62664,373,-84.1632,155396.67,0.03287,70.75,0.043530,0.0500,
62832,374,-51.9560,78255.95,0.08873,68.00,0.063422,0.0500,
63000,375,-48.5758,78931.94,0.05973,51.00,0.039115,0.0500,
63168,376,-63.4514,94812.32,0.05974,66.00,0.060622,0.0500,
63336,377,-46.9483,76511.30,0.05392,50.25,0.045852,0.0500,
63504,378,-47.9993,82402.27,0.05724,54.75,0.034029,0.0500,
