step,episode,episode_return,episode_wue,episode_fair_std,episode_worst_outage_h,loss,epsilon,eval_return
33936,202,-82.7226,123192.66,0.06510,73.75,0.053515,0.4627,
34104,203,-92.6817,168250.86,0.02425,77.00,0.040855,0.4600,
34272,204,-97.8758,170991.48,0.03799,81.75,0.047342,0.4574,
34440,205,-71.8378,115844.67,0.04481,65.75,0.056494,0.4547,
34608,206,-69.2669,119007.18,0.03094,65.50,0.056378,0.4520,
34776,207,-69.1438,121312.21,0.02221,61.00,0.058848,0.4494,
34944,208,-67.0519,120036.83,0.03297,65.00,0.044410,0.4467,
35000,208,,,,,,,-70.3299
35112,209,-72.9402,123181.17,0.02956,64.25,0.066271,0.4441,
35280,210,-95.5869,168383.88,0.02110,75.75,0.078999,0.4414,
35448,211,-78.2300,124472.24,0.02908,66.00,0.046471,0.4387,
35616,212,-72.4712,111894.66,0.04325,64.50,0.037340,0.4361,
35784,213,-70.8111,113036.22,0.06304,70.25,0.032692,0.4334,
35952,214,-84.2388,128130.82,0.02784,69.50,0.052160,0.4308,
36120,215,-69.5718,109165.27,0.04234,66.75,0.051471,0.4281,
36288,216,-72.8583,117955.75,0.04845,70.25,0.041551,0.4254,
36456,217,-66.1721,106110.79,0.04740,64.75,0.075795,0.4228,
36624,218,-80.3011,130939.01,0.05252,73.25,0.057920,0.4201,
36792,219,-99.1399,165418.84,0.01980,73.00,0.047497,0.4175,
36960,220,-67.9011,112283.98,0.03387,64.00,0.028153,0.4148,
37128,221,-69.6055,110260.82,0.05847,72.00,0.051322,0.4121,
37296,222,-80.5405,127677.36,0.05977,76.75,0.050337,0.4095,
37464,223,-93.5221,168465.37,0.03712,80.75,0.063925,0.4068,
37632,224,-67.4809,111312.19,0.04933,64.50,0.058573,0.4042,
37800,225,-72.0300,120317.51,0.03983,68.75,0.060663,0.4015,
37968,226,-69.6916,112786.30,0.05513,67.75,0.037733,0.3988,
38136,227,-68.2702,116301.53,0.04992,68.50,0.055833,0.3962,
38304,228,-97.8383,165803.12,0.02815,74.75,0.045376,0.3935,
38472,229,-64.7622,108777.25,0.05930,71.25,0.070912,0.3909,
38640,230,-97.2116,166746.66,0.03868,83.00,0.055071,0.3882,
38808,231,-97.0601,166217.05,0.04578,81.75,0.059154,0.3855,
38976,232,-94.7250,158866.32,0.04191,82.50,0.070427,0.3829,
39144,233,-69.5764,109827.26,0.04653,65.00,0.032960,0.3802,
39312,234,-77.8348,128128.43,0.02977,67.25,0.061249,0.3776,
39480,235,-68.7348,101601.05,0.06799,65.50,0.055326,0.3749,
39648,236,-94.4622,154446.54,0.03331,73.75,0.036058,0.3722,
39816,237,-65.2103,106945.80,0.04388,64.25,0.059327,0.3696,
39984,238,-66.9064,104321.96,0.03061,58.25,0.055362,0.3669,
40000,238,,,,,,,-69.2537
40152,239,-66.0087,106863.59,0.04838,61.75,0.057064,0.3643,
40320,240,-68.6937,105305.92,0.05924,64.75,0.050784,0.3616,
40488,241,-70.4799,112760.96,0.05880,70.50,0.033487,0.3589,
40656,242,-96.0784,174835.56,0.04236,86.75,0.051272,0.3563,
40824,243,-87.4488,116732.08,0.03405,62.50,0.051944,0.3536,
40992,244,-69.6557,111836.75,0.06093,71.00,0.045539,0.3510,
41160,245,-65.7116,109411.62,0.04871,67.75,0.042484,0.3483,
41328,246,-99.1931,155566.04,0.06318,88.75,0.046353,0.3456,
41496,247,-82.6776,120959.69,0.03995,69.75,0.050060,0.3430,
41664,248,-62.8537,112123.10,0.04333,65.50,0.056721,0.3403,
41832,249,-62.4935,107939.03,0.03525,58.50,0.066260,0.3377,
42000,250,-91.4611,173014.88,0.04371,82.50,0.047669,0.3350,
42168,251,-94.6230,178158.16,0.04144,89.25,0.062651,0.3323,
42336,252,-93.9399,162443.97,0.06600,87.25,0.058554,0.3297,
42504,253,-96.7273,161217.94,0.03301,75.75,0.039993,0.3270,
42672,254,-80.3356,111547.20,0.06445,70.75,0.053452,0.3244,
42840,255,-96.5576,169800.69,0.03924,85.50,0.047100,0.3217,
43008,256,-81.6695,120711.52,0.04805,68.75,0.050017,0.3190,
43176,257,-66.7694,114926.91,0.05469,65.75,0.073945,0.3164,
43344,258,-66.9173,98966.76,0.04277,61.00,0.038004,0.3137,
43512,259,-92.4650,165384.18,0.03507,80.00,0.044830,0.3111,
43680,260,-77.2892,120601.23,0.05546,72.00,0.052124,0.3084,
43848,261,-66.3673,96950.16,0.05384,61.00,0.057528,0.3057,
44016,262,-67.5128,110897.87,0.04693,66.50,0.052326,0.3031,
44184,263,-64.4684,107221.30,0.04400,65.00,0.042065,0.3004,
44352,264,-62.5336,100885.98,0.05088,62.50,0.045047,0.2978,
44520,265,-64.4797,107128.73,0.02206,58.00,0.066865,0.2951,
44688,266,-90.2506,162539.13,0.03662,77.00,0.054774,0.2924,
44856,267,-63.7780,111176.49,0.04075,63.00,0.064934,0.2898,
45000,267,,,,,,,-73.2946
45024,268,-62.6372,101634.86,0.04354,61.75,0.054910,0.2871,
45192,269,-95.9958,172306.65,0.05621,87.00,0.066552,0.2845,
45360,270,-67.2679,118866.97,0.04074,68.25,0.060656,0.2818,
45528,271,-92.3135,151748.89,0.03226,75.00,0.048082,0.2791,
45696,272,-69.4173,96684.79,0.05612,61.75,0.030010,0.2765,
45864,273,-64.2196,93253.94,0.05741,60.75,0.040323,0.2738,
46032,274,-62.7014,106660.62,0.04962,65.00,0.053387,0.2712,
46200,275,-89.3881,152369.09,0.03870,75.25,0.048279,0.2685,
46368,276,-82.2679,117648.17,0.07400,82.75,0.053480,0.2658,
46536,277,-93.0126,154935.14,0.05400,84.25,0.058441,0.2632,
46704,278,-73.4741,118980.96,0.04768,70.00,0.033042,0.2605,
46872,279,-64.7622,106431.78,0.04234,62.00,0.041721,0.2579,
47040,280,-64.4779,107565.90,0.03975,61.25,0.055489,0.2552,
47208,281,-92.8478,162383.46,0.06809,91.75,0.058775,0.2525,
