step,episode,episode_return,episode_wue,episode_fair_std,episode_worst_outage_h,loss,epsilon,eval_return
29736,177,-68.6907,125987.38,0.03298,70.50,0.050374,0.5292,
29904,178,-90.8274,175722.88,0.01723,76.75,0.053482,0.5265,
30000,178,,,,,,,-66.5838
30072,179,-66.6511,123432.73,0.04324,70.25,0.130604,0.5239,
30240,180,-68.7053,135458.12,0.03853,75.25,0.130460,0.5212,
30408,181,-71.7652,127775.22,0.05959,80.25,0.113349,0.5185,
30576,182,-68.6105,127906.97,0.04764,74.00,0.049954,0.5159,
30744,183,-68.2868,126442.94,0.05565,77.00,0.055615,0.5132,
30912,184,-72.6107,139227.79,0.04407,78.75,0.073122,0.5106,
31080,185,-82.8630,139104.31,0.04245,78.50,0.048712,0.5079,
31248,186,-73.0514,137582.36,0.01559,67.25,0.134321,0.5052,
31416,187,-69.9688,117741.04,0.06944,71.25,0.056273,0.5026,
31584,188,-66.3166,117705.77,0.06359,74.25,0.035558,0.4999,
31752,189,-66.8163,125956.99,0.02999,67.00,0.034544,0.4973,
31920,190,-73.7034,134477.11,0.05196,76.75,0.206374,0.4946,
32088,191,-65.8950,114144.20,0.04109,65.50,0.050402,0.4919,
32256,192,-101.5285,176802.61,0.07896,104.00,0.044571,0.4893,
32424,193,-66.9140,129402.25,0.03348,70.75,0.057955,0.4866,
32592,194,-68.6980,127364.28,0.05219,76.75,0.049510,0.4840,
32760,195,-74.4200,136152.69,0.03258,74.25,0.045388,0.4813,
32928,196,-68.9520,119606.36,0.07494,83.50,0.041879,0.4786,
33096,197,-64.6057,126399.41,0.06254,76.00,0.054517,0.4760,
33264,198,-71.2672,120453.30,0.05971,77.25,0.046084,0.4733,
33432,199,-73.6271,129194.10,0.05964,76.25,0.053234,0.4707,
33600,200,-64.8186,117440.33,0.04178,67.50,0.130138,0.4680,
33768,201,-64.9742,116260.55,0.04305,67.00,0.041305,0.4653,
33936,202,-78.5962,123774.04,0.08451,78.50,0.047070,0.4627,
34104,203,-89.6522,171554.36,0.03832,84.25,0.129122,0.4600,
34272,204,-97.4199,172192.50,0.05134,86.00,0.060832,0.4574,
34440,205,-63.0889,111750.54,0.05076,66.75,0.220691,0.4547,
34608,206,-65.8517,130807.17,0.02773,69.00,0.110744,0.4520,
