step,episode,episode_return,episode_wue,loss,epsilon,eval_return
45024,268,-48.6915,97365.32,0.037456,0.2871,
45192,269,-83.4227,155637.81,0.047363,0.2845,
45360,270,-51.5440,102501.93,0.046579,0.2818,
45528,271,-81.8391,165381.68,0.049566,0.2791,
45696,272,-50.0126,99327.79,0.037444,0.2765,
45864,273,-53.3768,101034.56,0.051910,0.2738,
46032,274,-48.9669,95383.28,0.042809,0.2712,
46200,275,-79.9182,147986.40,0.041069,0.2685,
46368,276,-66.6389,125346.43,0.065662,0.2658,
46536,277,-77.5714,162101.78,0.069202,0.2632,
46704,278,-59.6670,116250.62,0.075859,0.2605,
46872,279,-53.6785,99307.36,0.059424,0.2579,
47040,280,-50.8752,105439.84,0.052152,0.2552,
47208,281,-75.8865,165944.67,0.039509,0.2525,
47376,282,-47.3433,98350.92,0.064415,0.2499,
47544,283,-50.3312,90026.33,0.042220,0.2472,
47712,284,-80.2832,160181.63,0.050100,0.2446,
47880,285,-59.9718,110512.51,0.053923,0.2419,
48048,286,-49.1923,98539.09,0.041323,0.2392,
48216,287,-47.5643,93564.59,0.065591,0.2366,
48384,288,-49.4541,105404.49,0.052021,0.2339,
48552,289,-52.2310,99641.63,0.062350,0.2313,
48720,290,-82.7884,143349.37,0.042439,0.2286,
48888,291,-49.3967,95997.09,0.047356,0.2259,
49056,292,-51.9183,101455.96,0.057195,0.2233,
49224,293,-50.5628,106391.35,0.065155,0.2206,
49392,294,-84.0117,162504.33,0.061418,0.2180,
49560,295,-50.7066,90453.59,0.069961,0.2153,
49728,296,-55.6038,95900.96,0.053286,0.2126,
49896,297,-51.5255,92993.42,0.053351,0.2100,
50000,297,,,,,-56.4950
50064,298,-73.8821,148140.20,0.055856,0.2073,
50232,299,-72.7071,155116.25,0.053216,0.2047,
50400,300,-79.3750,170281.84,0.057578,0.2020,
50568,301,-48.8782,87806.60,0.057033,0.1993,
50736,302,-78.1932,140110.78,0.045523,0.1967,
50904,303,-61.6339,108374.68,0.062095,0.1940,
51072,304,-49.8450,100137.80,0.062414,0.1914,
51240,305,-47.5853,94899.84,0.036993,0.1887,
51408,306,-45.7369,88541.83,0.063050,0.1860,
51576,307,-63.8180,108238.90,0.072216,0.1834,
51744,308,-49.0430,92653.63,0.036818,0.1807,
51912,309,-44.7858,93088.05,0.058004,0.1781,
52080,310,-50.4468,92893.93,0.045813,0.1754,
52248,311,-46.9905,98636.70,0.055179,0.1727,
52416,312,-74.3887,159383.44,0.071789,0.1701,
52584,313,-47.2360,88790.99,0.070924,0.1674,
52752,314,-45.1577,99945.88,0.056074,0.1648,
52920,315,-75.3010,157671.83,0.055398,0.1621,
53088,316,-45.1387,94823.81,0.075866,0.1594,
53256,317,-46.7718,86450.54,0.051831,0.1568,
53424,318,-48.7905,95316.79,0.053405,0.1541,
53592,319,-55.5981,114508.66,0.063365,0.1515,
53760,320,-48.6794,92563.57,0.048102,0.1488,
53928,321,-48.2303,91081.47,0.054895,0.1461,
54096,322,-70.0504,144153.21,0.069120,0.1435,
54264,323,-45.7714,95190.59,0.062150,0.1408,
54432,324,-81.4022,161261.93,0.056654,0.1382,
54600,325,-77.6102,168825.61,0.082712,0.1355,
54768,326,-48.2965,83745.08,0.049854,0.1328,
54936,327,-75.8973,151998.50,0.048134,0.1302,
55104,328,-43.8297,79534.65,0.067356,0.1275,
55272,329,-43.3458,83311.76,0.064553,0.1249,
55440,330,-74.9471,154965.46,0.070453,0.1222,
55608,331,-46.1174,90303.31,0.074279,0.1195,
55776,332,-47.6912,86961.95,0.046197,0.1169,
55944,333,-45.5968,86088.75,0.050527,0.1142,
56112,334,-45.1672,82742.01,0.065788,0.1116,
56280,335,-46.9117,102493.66,0.042118,0.1089,
56448,336,-47.1833,80089.55,0.052278,0.1062,
56616,337,-41.4898,77631.60,0.050487,0.1036,
56784,338,-50.5745,94585.12,0.039745,0.1009,
56952,339,-45.6091,89343.77,0.061945,0.0983,
57120,340,-40.7015,75954.27,0.053231,0.0956,
57288,341,-72.2433,140763.56,0.062635,0.0929,
57456,342,-40.5725,82507.69,0.070439,0.0903,
57624,343,-57.1512,101219.22,0.047000,0.0876,
57792,344,-75.0007,144370.29,0.062716,0.0850,
57960,345,-40.6581,85371.27,0.060901,0.0823,
58128,346,-43.2834,85834.89,0.045984,0.0796,
58296,347,-42.5000,93498.81,0.034809,0.0770,
58464,348,-56.6792,99662.79,0.065624,0.0743,
58632,349,-41.6711,86258.68,0.051226,0.0717,
58800,350,-55.2825,106467.22,0.060007,0.0690,
58968,351,-72.3257,144619.39,0.053063,0.0663,
59136,352,-43.8253,77495.35,0.081180,0.0637,
59304,353,-48.1658,99419.01,0.052538,0.0610,
59472,354,-41.8417,85911.81,0.056211,0.0584,
59640,355,-42.5377,87893.38,0.062307,0.0557,
59808,356,-50.0378,97094.67,0.083094,0.0530,
59976,357,-55.3640,114387.04,0.071497,0.0504,
60000,357,,,,,-52.8454
