step,episode,episode_return,episode_wue,loss,epsilon,eval_return
47544,283,-66.3722,117557.60,0.071958,0.2472,
47712,284,-100.4846,159957.56,0.053482,0.2446,
47880,285,-73.9322,106529.75,0.056207,0.2419,
48048,286,-62.2060,109988.20,0.056787,0.2392,
48216,287,-56.6715,93655.19,0.050071,0.2366,
48384,288,-61.4144,103834.85,0.043946,0.2339,
48552,289,-60.9163,104556.16,0.083187,0.2313,
48720,290,-92.9828,154398.23,0.063325,0.2286,
48888,291,-60.9455,103619.27,0.063654,0.2259,
49056,292,-62.4374,92149.24,0.069236,0.2233,
49224,293,-64.8812,107379.10,0.082652,0.2206,
49392,294,-98.1531,166663.31,0.048208,0.2180,
49560,295,-59.6778,110286.53,0.077021,0.2153,
49728,296,-64.0469,106953.06,0.080394,0.2126,
49896,297,-62.3222,106025.71,0.061865,0.2100,
50000,297,,,,,-63.2664
50064,298,-89.6559,144449.81,0.138474,0.2073,
50232,299,-93.5836,151573.13,0.059284,0.2047,
50400,300,-97.6895,170538.17,0.058518,0.2020,
50568,301,-66.3034,97308.04,0.074033,0.1993,
50736,302,-90.9566,166540.09,0.086959,0.1967,
50904,303,-72.2222,117510.73,0.087727,0.1940,
51072,304,-61.3845,104312.17,0.063078,0.1914,
51240,305,-60.2343,98538.29,0.051442,0.1887,
51408,306,-59.4817,96580.80,0.050575,0.1860,
51576,307,-76.2557,118663.10,0.062203,0.1834,
51744,308,-58.1578,97129.55,0.066081,0.1807,
51912,309,-55.6656,87374.48,0.057804,0.1781,
52080,310,-61.7776,97653.64,0.077013,0.1754,
52248,311,-59.2343,85724.47,0.060473,0.1727,
52416,312,-96.8841,143910.85,0.067794,0.1701,
52584,313,-59.3173,87967.29,0.068374,0.1674,
52752,314,-59.0169,97223.35,0.074666,0.1648,
52920,315,-92.7520,173287.10,0.097909,0.1621,
53088,316,-60.5454,90677.43,0.057666,0.1594,
53256,317,-59.6694,92911.39,0.043856,0.1568,
53424,318,-62.3815,91064.42,0.072348,0.1541,
53592,319,-68.2424,122614.61,0.053986,0.1515,
53760,320,-60.1428,100266.09,0.049195,0.1488,
53928,321,-59.2594,94997.48,0.074223,0.1461,
54096,322,-87.7341,141115.70,0.056839,0.1435,
54264,323,-55.4181,92141.40,0.054727,0.1408,
54432,324,-87.7684,147447.96,0.084420,0.1382,
54600,325,-86.2696,147505.92,0.070585,0.1355,
54768,326,-55.9434,93791.63,0.057141,0.1328,
54936,327,-89.0780,160504.20,0.059947,0.1302,
55000,327,,,,,-68.1861
55104,328,-61.5640,91362.35,0.063740,0.1275,
55272,329,-56.8401,86950.20,0.079488,0.1249,
55440,330,-90.9735,162743.22,0.068658,0.1222,
55608,331,-63.5928,87800.33,0.046409,0.1195,
55776,332,-62.5841,107713.89,0.072298,0.1169,
55944,333,-61.2429,99581.94,0.087699,0.1142,
56112,334,-58.1304,101550.60,0.051401,0.1116,
56280,335,-57.2800,90602.09,0.067520,0.1089,
56448,336,-59.6803,86125.19,0.059299,0.1062,
56616,337,-56.3115,100498.97,0.062623,0.1036,
56784,338,-61.2029,99606.62,0.065069,0.1009,
56952,339,-56.8755,91097.59,0.051521,0.0983,
57120,340,-54.0625,81580.96,0.069768,0.0956,
57288,341,-90.1357,143475.02,0.077598,0.0929,
57456,342,-53.6393,89129.82,0.056236,0.0903,
57624,343,-79.9800,109846.88,0.044618,0.0876,
