step,episode,episode_return,episode_wue,loss,epsilon,eval_return
54432,324,-87.2377,173838.92,0.056811,0.1382,
54600,325,-84.1874,170096.56,0.069661,0.1355,
54768,326,-54.4012,94925.55,0.038826,0.1328,
54936,327,-81.4643,159305.43,0.039962,0.1302,
55104,328,-52.0927,86829.44,0.059119,0.1275,
55272,329,-51.4602,87827.58,0.068577,0.1249,
55440,330,-88.7050,155420.33,0.048977,0.1222,
55608,331,-56.5900,91342.02,0.073283,0.1195,
55776,332,-52.8326,93603.87,0.051008,0.1169,
55944,333,-54.4362,99047.62,0.065043,0.1142,
56112,334,-53.0929,83996.91,0.055566,0.1116,
56280,335,-52.7998,99756.62,0.038666,0.1089,
56448,336,-52.0434,90403.18,0.058740,0.1062,
56616,337,-48.4150,85973.38,0.051801,0.1036,
56784,338,-56.0340,94501.67,0.036183,0.1009,
56952,339,-54.2132,99113.34,0.055323,0.0983,
57120,340,-50.9203,83917.85,0.057823,0.0956,
57288,341,-84.1587,153552.50,0.056773,0.0929,
57456,342,-51.2902,88718.33,0.076745,0.0903,
57624,343,-65.4181,116700.85,0.044695,0.0876,
57792,344,-86.9191,164674.94,0.057731,0.0850,
57960,345,-51.5680,93181.85,0.056171,0.0823,
58128,346,-53.8290,91382.83,0.052149,0.0796,
58296,347,-54.3111,94317.78,0.047075,0.0770,
58464,348,-63.9683,116644.00,0.062082,0.0743,
58632,349,-53.1194,96715.87,0.044318,0.0717,
58800,350,-60.0874,105209.92,0.068405,0.0690,
58968,351,-83.1389,161263.33,0.055954,0.0663,
59136,352,-53.1345,88952.98,0.063688,0.0637,
59304,353,-55.6837,104115.37,0.052706,0.0610,
59472,354,-53.1050,94018.87,0.047225,0.0584,
59640,355,-50.9916,95053.71,0.078001,0.0557,
59808,356,-61.0587,101931.01,0.068454,0.0530,
59976,357,-63.1943,109296.45,0.062002,0.0504,
60000,357,,,,,-61.6375
